,2020-02-11,2020-02-12
ATVI,61.93000030517578,61.5
ADBE,373.0299987792969,370.6400146484375
AMD,53.220001220703125,54.529998779296875
ALXN,101.13999938964844,102.48999786376953
ALGN,259.510009765625,265.17999267578125
GOOGL,1513.27001953125,1515.8599853515625
GOOG,1511.81005859375,1514.47998046875
AMZN,2150.89990234375,2163.199951171875
AAL,29.059999465942383,30.0
AMGN,227.6999969482422,229.47000122070312
ADI,113.44999694824219,117.41000366210938
AAPL,323.6000061035156,321.4700012207031
AMAT,63.599998474121094,64.93000030517578
ASML,313.0400085449219,315.6300048828125
ADSK,207.35000610351562,206.75999450683594
ADP,180.25,178.69000244140625
BIDU,133.50999450683594,136.72999572753906
BIIB,338.05999755859375,331.6600036621094
BMRN,88.20999908447266,88.23999786376953
BKNG,1894.47998046875,1923.949951171875
AVGO,316.6499938964844,322.0400085449219
CDNS,75.04000091552734,76.0
CERN,80.0,80.5199966430664
CHTR,531.0,531.489990234375
CHKP,118.62999725341797,118.61000061035156
CTAS,294.0400085449219,294.5199890136719
CSCO,49.38999938964844,49.43000030517578
CTXS,122.41000366210938,122.18000030517578
CTSH,69.45999908447266,69.52999877929688
CMCSA,44.81999969482422,44.97999954223633
COST,314.0299987792969,310.7699890136719
CSX,78.97000122070312,79.08999633789062
DLTR,87.30000305175781,88.48999786376953
EBAY,36.20000076293945,36.63999938964844
EA,108.94999694824219,109.66999816894531
EXPE,109.29000091552734,109.81999969482422
FB,210.19000244140625,207.85000610351562
FAST,37.099998474121094,37.900001525878906
FISV,123.80999755859375,120.4800033569336
FOXA,37.22999954223633,37.33000183105469
FOX,36.849998474121094,36.77000045776367
GILD,68.93000030517578,67.5
HAS,107.88999938964844,99.9800033569336
HSIC,70.26000213623047,70.9800033569336
IDXX,280.3299865722656,284.2099914550781
ILMN,296.8999938964844,297.6300048828125
INCY,75.27999877929688,76.4000015258789
INTC,66.83000183105469,67.5999984741211
INTU,299.8999938964844,297.0
ISRG,588.6500244140625,591.5700073242188
JBHT,112.91999816894531,112.69000244140625
JD,40.54999923706055,41.56999969482422
KLAC,169.2100067138672,174.0
LRCX,322.8699951171875,328.0
LBTYK,19.479999542236328,20.40999984741211
LBTYA,20.389999389648438,21.40999984741211
LULU,249.33999633789062,252.11000061035156
MAR,145.8699951171875,148.0399932861328
MXIM,63.369998931884766,64.41999816894531
MELI,633.3099975585938,656.8800048828125
MCHP,109.0,109.5
MU,57.880001068115234,59.040000915527344
MSFT,190.64999389648438,185.5800018310547
MDLZ,59.02000045776367,59.08000183105469
MNST,69.26000213623047,69.19000244140625
MYL,22.68000030517578,22.639999389648438
NTAP,58.7599983215332,59.45000076293945
NTES,356.4700012207031,352.7200012207031
NFLX,373.75,377.17999267578125
NVDA,267.32000732421875,270.010009765625
NXPI,134.1300048828125,136.5800018310547
ORLY,388.1300048828125,391.19000244140625
PCAR,75.73999786376953,76.0
PAYX,88.75,88.23999786376953
PYPL,120.76000213623047,118.8499984741211
PEP,146.2100067138672,146.67999267578125
QCOM,89.37000274658203,91.6500015258789
REGN,390.2099914550781,398.1300048828125
ROST,119.04000091552734,120.4800033569336
SIRI,7.199999809265137,7.170000076293945
SWKS,117.37999725341797,120.61000061035156
SBUX,87.86000061035156,87.70999908447266
SNPS,157.8800048828125,158.1999969482422
TTWO,111.0,112.52999877929688
TSLA,768.7899780273438,777.8699951171875
TXN,130.47000122070312,131.64999389648438
KHC,29.889999389648438,30.170000076293945
TMUS,93.69999694824219,94.0
ULTA,294.8900146484375,294.1600036621094
UAL,80.0199966430664,81.08000183105469
VRSN,206.30999755859375,204.6699981689453
VRSK,170.1699981689453,167.9199981689453
VRTX,245.0,247.61000061035156
WBA,53.540000915527344,53.41999816894531
WDC,69.13999938964844,69.69999694824219
WLTW,215.39999389648438,213.22999572753906
WDAY,196.0,194.25999450683594
WYNN,128.60000610351562,136.0399932861328
XEL,69.05999755859375,68.75
XLNX,87.76000213623047,91.0
